Species,CommonName,Order,IUCN_Status,HabitatGeneralistSpecialist,Nest_Location_>1,Nest_Structure_>1,General_Nesting_Location,General_Nesting_Structure,Nesting_On_Artificial,Nest_Elevation_Min,Nest_Elevation_Max,Urban_Nester_YN,Urban_Forager_YN,AcceptsProvisions_YN,Urban_NestMortality,Exurban_NestMortality,Urban_RangeSize,Exurban_RangeSize,Urban_Primary_Diet,Exurban_Primary_Diet
Bubo virginianus,Great Horned Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Bubo magellanicus,Lesser Horned Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Bubo bengalensis,Rock Eagle-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Bubo cinerascens,Grayish Eagle-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Bubo africanus,Spotted Eagle-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Bubo milesi,Arabian Eagle-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Bubo capensis,Cape Eagle-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Bubo ascalaphus,Pharaoh Eagle-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Bubo bubo,Eurasian Eagle-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ketupa poensis,Fraser's Eagle-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ketupa leucosticta,Akun Eagle-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ketupa lactea,Verreaux's Eagle-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ketupa shelleyi,Shelley's Eagle-Owl,Strigiformes,VU,,,,,,,,,,,,,,,,,
Ketupa blakistoni,Blakiston's Fish-Owl,Strigiformes,VU,,,,,,,,,,,,,,,,,
Ketupa ketupu,Buffy Fish-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ketupa zeylonensis,Brown Fish-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ketupa flavipes,Tawny Fish-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ketupa coromanda,Dusky Eagle-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ketupa nipalensis,Spot-bellied Eagle-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ketupa sumatrana,Barred Eagle-Owl,Strigiformes,NT,,,,,,,,,,,,,,,,,
Ketupa philippensis,Philippine Eagle-Owl,Strigiformes,VU,,,,,,,,,,,,,,,,,
Scotopelia peli,Pel's Fishing-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Scotopelia ussheri,Rufous Fishing-Owl,Strigiformes,VU,,,,,,,,,,,,,,,,,
Scotopelia bouvieri,Vermiculated Fishing-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Surnia ulula,Northern Hawk Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium passerinum,Eurasian Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium perlatum,Pearl-spotted Owlet,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium gnoma,Northern Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium costaricanum,Costa Rican Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium nubicola,Cloud-forest Pygmy-Owl,Strigiformes,VU,,,,,,,,,,,,,,,,,
Glaucidium jardinii,Andean Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium bolivianum,Yungas Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium parkeri,Subtropical Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium griseiceps,Central American Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium sanchezi,Tamaulipas Pygmy-Owl,Strigiformes,NT,,,,,,,,,,,,,,,,,
Glaucidium palmarum,Colima Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium hardyi,Amazonian Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium mooreorum,Pernambuco Pygmy-Owl,Strigiformes,CR,,,,,,,,,,,,,,,,,
Glaucidium minutissimum,Least Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium brasilianum,Ferruginous Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium nana,Austral Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium peruanum,Peruvian Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium siju,Cuban Pygmy-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium tephronotum,Red-chested Owlet,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium sjostedti,Sjöstedt's Owlet,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium cuculoides,Asian Barred Owlet,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium castanopterum,Javan Owlet,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium radiatum,Jungle Owlet,Strigiformes,LC,,,,,,,,,,,,,,,,,
Glaucidium castanotum,Chestnut-backed Owlet,Strigiformes,NT,,,,,,,,,,,,,,,,,
Glaucidium capense,African Barred Owlet,Strigiformes,,,,,,,,,,,,,,,,,,
Glaucidium albertinum,Albertine Owlet,Strigiformes,NT,,,,,,,,,,,,,,,,,
Taenioptynx brodiei,Collared Owlet,Strigiformes,LC,,,,,,,,,,,,,,,,,
Taenioptynx sylvaticus,Sunda Owlet,Strigiformes,LC,,,,,,,,,,,,,,,,,
Micrathene whitneyi,Elf Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Xenoglaux loweryi,Long-whiskered Owlet,Strigiformes,VU,,,,,,,,,,,,,,,,,
Athene brama,Spotted Owlet,Strigiformes,LC,,,,,,,,,,,,,,,,,
Athene noctua,Little Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Athene blewitti,Forest Owlet,Strigiformes,EN,,,,,,,,,,,,,,,,,
Athene jacquinoti,West Solomons Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Athene granti,Guadalcanal Owl,Strigiformes,NT,,,,,,,,,,,,,,,,,
Athene malaitae,Malaita Owl,Strigiformes,VU,,,,,,,,,,,,,,,,,
Athene roseoaxillaris,Makira Owl,Strigiformes,VU,,,,,,,,,,,,,,,,,
Athene superciliaris,White-browed Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Athene cunicularia,Burrowing Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix virgata,Mottled Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix nigrolineata,Black-and-white Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix huhula,Black-banded Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix albitarsis,Rufous-banded Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix seloputo,Spotted Wood-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix ocellata,Mottled Wood-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix leptogrammica,Brown Wood-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix aluco,Tawny Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix nivicolum,Himalayan Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix hadorami,Desert Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix butleri,Omani Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix occidentalis,Spotted Owl,Strigiformes,NT,,,,,,,,,,,,,,,,,
Strix varia,Barred Owl,Strigiformes,,,,,,,,,,,,,,,,,,
Strix sartorii,Cinereous Owl,Strigiformes,,,,,,,,,,,,,,,,,,
Strix fulvescens,Fulvous Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix hylophila,Rusty-barred Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix rufipes,Rufous-legged Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix chacoensis,Chaco Owl,Strigiformes,NT,,,,,,,,,,,,,,,,,
Strix uralensis,Ural Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix nebulosa,Great Gray Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Strix woodfordii,African Wood-Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Asio grammicus,Jamaican Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Asio otus,Long-eared Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Asio abyssinicus,Abyssinian Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Asio madagascariensis,Madagascar Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Asio clamator,Striped Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Asio stygius,Stygian Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Asio flammeus,Short-eared Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Asio capensis,Marsh Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Asio solomonensis,Fearful Owl,Strigiformes,NT,,,,,,,,,,,,,,,,,
Aegolius funereus,Boreal Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Aegolius acadicus,Northern Saw-whet Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Aegolius gradyi,Bermuda Saw-whet Owl,Strigiformes,EX,,,,,,,,,,,,,,,,,
Aegolius ridgwayi,Unspotted Saw-whet Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Aegolius harrisii,Buff-fronted Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox rufa,Rufous Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox strenua,Powerful Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox connivens,Barking Owl,Strigiformes,,,,,,,,,,,,,,,,,,
Ninox rudolfi,Sumba Boobook,Strigiformes,NT,,,,,,,,,,,,,,,,,
Ninox affinis,Andaman Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox boobook,Australian Boobook,Strigiformes,,,,,,,,,,,,,,,,,,
Ninox rotiensis,Rote Boobook,Strigiformes,NT,,,,,,,,,,,,,,,,,
Ninox fusca,Timor Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox plesseni,Alor Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox leucopsis,Tasmanian Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox novaeseelandiae,Morepork,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox albifacies,Laughing Owl,Strigiformes,EX,,,,,,,,,,,,,,,,,
Ninox sumbaensis,Least Boobook,Strigiformes,EN,,,,,,,,,,,,,,,,,
Ninox scutulata,Brown Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox obscura,Hume's Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox japonica,Northern Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox randi,Chocolate Boobook,Strigiformes,NT,,,,,,,,,,,,,,,,,
Ninox philippensis,Luzon Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox spilocephala,Mindanao Boobook,Strigiformes,NT,,,,,,,,,,,,,,,,,
Ninox mindorensis,Mindoro Boobook,Strigiformes,VU,,,,,,,,,,,,,,,,,
Ninox spilonotus,Romblon Boobook,Strigiformes,EN,,,,,,,,,,,,,,,,,
Ninox rumseyi,Cebu Boobook,Strigiformes,VU,,,,,,,,,,,,,,,,,
Ninox leventisi,Camiguin Boobook,Strigiformes,VU,,,,,,,,,,,,,,,,,
Ninox reyi,Sulu Boobook,Strigiformes,VU,,,,,,,,,,,,,,,,,
Ninox ochracea,Ochre-bellied Boobook,Strigiformes,NT,,,,,,,,,,,,,,,,,
Ninox burhani,Togian Boobook,Strigiformes,NT,,,,,,,,,,,,,,,,,
Ninox ios,Cinnabar Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox hypogramma,Halmahera Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox forbesi,Tanimbar Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox squamipila,Seram Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox hantu,Buru Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox natalis,Christmas Island Boobook,Strigiformes,VU,,,,,,,,,,,,,,,,,
Ninox theomacha,Papuan Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox meeki,Manus Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox punctulata,Speckled Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox variegata,Bismarck Boobook,Strigiformes,LC,,,,,,,,,,,,,,,,,
Ninox odiosa,New Britain Boobook,Strigiformes,VU,,,,,,,,,,,,,,,,,
Uroglaux dimorpha,Papuan Owl,Strigiformes,LC,,,,,,,,,,,,,,,,,
Herpetotheres cachinnans,Laughing Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Micrastur buckleyi,Buckley's Forest-Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Micrastur semitorquatus,Collared Forest-Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Micrastur mirandollei,Slaty-backed Forest-Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Micrastur ruficollis,Barred Forest-Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Micrastur mintoni,Cryptic Forest-Falcon,Falconiformes,NT,,,,,,,,,,,,,,,,,
Micrastur plumbeus,Plumbeous Forest-Falcon,Falconiformes,VU,,,,,,,,,,,,,,,,,
Micrastur gilvicollis,Lined Forest-Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Spiziapteryx circumcincta,Spot-winged Falconet,Falconiformes,LC,,,,,,,,,,,,,,,,,
Caracara lutosa,Guadalupe Caracara,Falconiformes,EX,,,,,,,,,,,,,,,,,
Caracara plancus,Crested Caracara,Falconiformes,LC,,,,,,,,,,,,,,,,,
Ibycter americanus,Red-throated Caracara,Falconiformes,LC,,,,,,,,,,,,,,,,,
Daptrius chimachima,Yellow-headed Caracara,Falconiformes,LC,,,,,,,,,,,,,,,,,
Daptrius ater,Black Caracara,Falconiformes,LC,,,,,,,,,,,,,,,,,
Daptrius chimango,Chimango Caracara,Falconiformes,LC,,,,,,,,,,,,,,,,,
Daptrius carunculatus,Carunculated Caracara,Falconiformes,LC,,,,,,,,,,,,,,,,,
Daptrius megalopterus,Mountain Caracara,Falconiformes,LC,,,,,,,,,,,,,,,,,
Daptrius albogularis,White-throated Caracara,Falconiformes,LC,,,,,,,,,,,,,,,,,
Daptrius australis,Striated Caracara,Falconiformes,NT,,,,,,,,,,,,,,,,,
Polihierax semitorquatus,Pygmy Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Microhierax erythrogenys,Philippine Falconet,Falconiformes,LC,,,,,,,,,,,,,,,,,
Microhierax melanoleucos,Pied Falconet,Falconiformes,LC,,,,,,,,,,,,,,,,,
Microhierax caerulescens,Collared Falconet,Falconiformes,LC,,,,,,,,,,,,,,,,,
Microhierax fringillarius,Black-thighed Falconet,Falconiformes,LC,,,,,,,,,,,,,,,,,
Microhierax latifrons,White-fronted Falconet,Falconiformes,NT,,,,,,,,,,,,,,,,,
Neohierax insignis,White-rumped Falcon,Falconiformes,NT,,,,,,,,,,,,,,,,,
Falco naumanni,Lesser Kestrel,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco tinnunculus,Eurasian Kestrel,Falconiformes,,,,,,,,,,,,,,,,,,
Falco rupicolus,Rock Kestrel,Falconiformes,,,,,,,,,,,,,,,,,,
Falco newtoni,Malagasy Kestrel,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco punctatus,Mauritius Kestrel,Falconiformes,EN,,,,,,,,,,,,,,,,,
Falco araeus,Seychelles Kestrel,Falconiformes,VU,,,,,,,,,,,,,,,,,
Falco duboisi,Reunion Kestrel,Falconiformes,EX,,,,,,,,,,,,,,,,,
Falco moluccensis,Spotted Kestrel,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco cenchroides,Nankeen Kestrel,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco rupicoloides,Greater Kestrel,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco sparverius,American Kestrel,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco alopex,Fox Kestrel,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco ardosiaceus,Gray Kestrel,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco dickinsoni,Dickinson's Kestrel,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco zoniventris,Banded Kestrel,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco chicquera,Red-necked Falcon,Falconiformes,,,,,,,,,,,,,,,,,,
Falco vespertinus,Red-footed Falcon,Falconiformes,VU,,,,,,,,,,,,,,,,,
Falco amurensis,Amur Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco eleonorae,Eleonora's Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco concolor,Sooty Falcon,Falconiformes,VU,,,,,,,,,,,,,,,,,
Falco columbarius,Merlin,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco subbuteo,Eurasian Hobby,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco cuvierii,African Hobby,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco severus,Oriental Hobby,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco longipennis,Australian Hobby,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco novaeseelandiae,New Zealand Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco berigora,Brown Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco hypoleucos,Gray Falcon,Falconiformes,VU,,,,,,,,,,,,,,,,,
Falco subniger,Black Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco femoralis,Aplomado Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco rufigularis,Bat Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco deiroleucus,Orange-breasted Falcon,Falconiformes,NT,,,,,,,,,,,,,,,,,
Falco biarmicus,Lanner Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco jugger,Laggar Falcon,Falconiformes,NT,,,,,,,,,,,,,,,,,
Falco cherrug,Saker Falcon,Falconiformes,EN,,,,,,,,,,,,,,,,,
Falco rusticolus,Gyrfalcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco peregrinus,Peregrine Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco mexicanus,Prairie Falcon,Falconiformes,LC,,,,,,,,,,,,,,,,,
Falco fasciinucha,Taita Falcon,Falconiformes,VU,,,,,,,,,,,,,,,,,
